,away_team,date,home_team,score,time,url,matchId
78,Salernitana,Oct 2 2022,Sassuolo,5 : 0,14:00,/Matches/1651521/Live/Italy-Serie-A-2022-2023-Sassuolo-Salernitana,1651521
79,Udinese,Oct 3 2022,Verona,1 : 2,19:45,/Matches/1651514/Live/Italy-Serie-A-2022-2023-Verona-Udinese,1651514
80,Inter,Oct 8 2022,Sassuolo,1 : 2,14:00,/Matches/1651529/Live/Italy-Serie-A-2022-2023-Sassuolo-Inter,1651529
81,Juventus,Oct 8 2022,AC Milan,2 : 0,17:00,/Matches/1651525/Live/Italy-Serie-A-2022-2023-AC-Milan-Juventus,1651525
82,Sampdoria,Oct 8 2022,Bologna,1 : 1,19:45,/Matches/1651522/Live/Italy-Serie-A-2022-2023-Bologna-Sampdoria,1651522
83,Empoli,Oct 9 2022,Torino,1 : 1,11:30,/Matches/1651530/Live/Italy-Serie-A-2022-2023-Torino-Empoli,1651530
84,Lecce,Oct 9 2022,Roma,2 : 1,19:45,/Matches/1651527/Live/Italy-Serie-A-2022-2023-Roma-Lecce,1651527
85,Verona,Oct 9 2022,Salernitana,2 : 1,14:00,/Matches/1651528/Live/Italy-Serie-A-2022-2023-Salernitana-Verona,1651528
86,Spezia,Oct 9 2022,Monza,2 : 0,14:00,/Matches/1651526/Live/Italy-Serie-A-2022-2023-Monza-Spezia,1651526
87,Atalanta,Oct 9 2022,Udinese,2 : 2,14:00,/Matches/1651531/Live/Italy-Serie-A-2022-2023-Udinese-Atalanta,1651531
88,Napoli,Oct 9 2022,Cremonese,1 : 4,17:00,/Matches/1651523/Live/Italy-Serie-A-2022-2023-Cremonese-Napoli,1651523
89,Lazio,Oct 10 2022,Fiorentina,0 : 4,19:45,/Matches/1651524/Live/Italy-Serie-A-2022-2023-Fiorentina-Lazio,1651524
90,Sassuolo,Oct 15 2022,Atalanta,2 : 1,19:45,/Matches/1651532/Live/Italy-Serie-A-2022-2023-Atalanta-Sassuolo,1651532
91,Juventus,Oct 15 2022,Torino,0 : 1,17:00,/Matches/1651541/Live/Italy-Serie-A-2022-2023-Torino-Juventus,1651541
92,Monza,Oct 15 2022,Empoli,1 : 0,14:00,/Matches/1651533/Live/Italy-Serie-A-2022-2023-Empoli-Monza,1651533
93,Cremonese,Oct 16 2022,Spezia,2 : 2,14:00,/Matches/1651540/Live/Italy-Serie-A-2022-2023-Spezia-Cremonese,1651540
94,Salernitana,Oct 16 2022,Inter,2 : 0,11:30,/Matches/1651535/Live/Italy-Serie-A-2022-2023-Inter-Salernitana,1651535
95,AC Milan,Oct 16 2022,Verona,1 : 2,19:45,/Matches/1651534/Live/Italy-Serie-A-2022-2023-Verona-AC-Milan,1651534
96,Udinese,Oct 16 2022,Lazio,0 : 0,14:00,/Matches/1651536/Live/Italy-Serie-A-2022-2023-Lazio-Udinese,1651536
97,Bologna,Oct 16 2022,Napoli,3 : 2,17:00,/Matches/1651538/Live/Italy-Serie-A-2022-2023-Napoli-Bologna,1651538
98,Roma,Oct 17 2022,Sampdoria,0 : 1,17:30,/Matches/1651539/Live/Italy-Serie-A-2022-2023-Sampdoria-Roma,1651539
99,Fiorentina,Oct 17 2022,Lecce,1 : 1,19:45,/Matches/1651537/Live/Italy-Serie-A-2022-2023-Lecce-Fiorentina,1651537
100,Empoli,Oct 21 2022,Juventus,4 : 0,19:45,/Matches/1651486/Live/Italy-Serie-A-2022-2023-Juventus-Empoli,1651486
101,Inter,Oct 22 2022,Fiorentina,3 : 4,19:45,/Matches/1651485/Live/Italy-Serie-A-2022-2023-Fiorentina-Inter,1651485
102,Monza,Oct 22 2022,AC Milan,4 : 1,17:00,/Matches/1651487/Live/Italy-Serie-A-2022-2023-AC-Milan-Monza,1651487
103,Spezia,Oct 22 2022,Salernitana,1 : 0,14:00,/Matches/1651489/Live/Italy-Serie-A-2022-2023-Salernitana-Spezia,1651489
104,Napoli,Oct 23 2022,Roma,0 : 1,19:45,/Matches/1651488/Live/Italy-Serie-A-2022-2023-Roma-Napoli,1651488
105,Lecce,Oct 23 2022,Bologna,2 : 0,14:00,/Matches/1651483/Live/Italy-Serie-A-2022-2023-Bologna-Lecce,1651483
106,Lazio,Oct 23 2022,Atalanta,0 : 2,17:00,/Matches/1651482/Live/Italy-Serie-A-2022-2023-Atalanta-Lazio,1651482
107,Torino,Oct 23 2022,Udinese,1 : 2,11:30,/Matches/1651491/Live/Italy-Serie-A-2022-2023-Udinese-Torino,1651491
108,Verona,Oct 24 2022,Sassuolo,2 : 1,19:45,/Matches/1651490/Live/Italy-Serie-A-2022-2023-Sassuolo-Verona,1651490
109,Sampdoria,Oct 24 2022,Cremonese,0 : 1,17:30,/Matches/1651484/Live/Italy-Serie-A-2022-2023-Cremonese-Sampdoria,1651484
110,Juventus,Oct 29 2022,Lecce,0 : 1,17:00,/Matches/1651497/Live/Italy-Serie-A-2022-2023-Lecce-Juventus,1651497
111,Sampdoria,Oct 29 2022,Inter,3 : 0,19:45,/Matches/1651495/Live/Italy-Serie-A-2022-2023-Inter-Sampdoria,1651495
112,Sassuolo,Oct 29 2022,Napoli,4 : 0,14:00,/Matches/1651499/Live/Italy-Serie-A-2022-2023-Napoli-Sassuolo,1651499
113,Atalanta,Oct 30 2022,Empoli,0 : 2,11:30,/Matches/1651493/Live/Italy-Serie-A-2022-2023-Empoli-Atalanta,1651493
114,AC Milan,Oct 30 2022,Torino,2 : 1,19:45,/Matches/1651501/Live/Italy-Serie-A-2022-2023-Torino-AC-Milan,1651501
115,Udinese,Oct 30 2022,Cremonese,0 : 0,14:00,/Matches/1651492/Live/Italy-Serie-A-2022-2023-Cremonese-Udinese,1651492
116,Salernitana,Oct 30 2022,Lazio,1 : 3,17:00,/Matches/1651496/Live/Italy-Serie-A-2022-2023-Lazio-Salernitana,1651496
117,Fiorentina,Oct 30 2022,Spezia,1 : 2,14:00,/Matches/1651500/Live/Italy-Serie-A-2022-2023-Spezia-Fiorentina,1651500
118,Roma,Oct 31 2022,Verona,1 : 3,17:30,/Matches/1651494/Live/Italy-Serie-A-2022-2023-Verona-Roma,1651494
119,Bologna,Oct 31 2022,Monza,1 : 2,19:45,/Matches/1651498/Live/Italy-Serie-A-2022-2023-Monza-Bologna,1651498
120,Lecce,Nov 4 2022,Udinese,1 : 1,19:45,/Matches/1651511/Live/Italy-Serie-A-2022-2023-Udinese-Lecce,1651511
121,Spezia,Nov 5 2022,AC Milan,2 : 1,19:45,/Matches/1651506/Live/Italy-Serie-A-2022-2023-AC-Milan-Spezia,1651506
122,Napoli,Nov 5 2022,Atalanta,1 : 2,17:00,/Matches/1651502/Live/Italy-Serie-A-2022-2023-Atalanta-Napoli,1651502
123,Cremonese,Nov 5 2022,Salernitana,2 : 2,14:00,/Matches/1651509/Live/Italy-Serie-A-2022-2023-Salernitana-Cremonese,1651509
124,Sassuolo,Nov 5 2022,Empoli,1 : 0,14:00,/Matches/1651504/Live/Italy-Serie-A-2022-2023-Empoli-Sassuolo,1651504
125,Lazio,Nov 6 2022,Roma,0 : 1,17:00,/Matches/1651508/Live/Italy-Serie-A-2022-2023-Roma-Lazio,1651508
126,Fiorentina,Nov 6 2022,Sampdoria,0 : 2,14:00,/Matches/1651510/Live/Italy-Serie-A-2022-2023-Sampdoria-Fiorentina,1651510
127,Torino,Nov 6 2022,Bologna,2 : 1,11:30,/Matches/1651503/Live/Italy-Serie-A-2022-2023-Bologna-Torino,1651503
128,Inter,Nov 6 2022,Juventus,2 : 0,19:45,/Matches/1651505/Live/Italy-Serie-A-2022-2023-Juventus-Inter,1651505
129,Verona,Nov 6 2022,Monza,2 : 0,14:00,/Matches/1651507/Live/Italy-Serie-A-2022-2023-Monza-Verona,1651507
130,AC Milan,Nov 8 2022,Cremonese,0 : 0,19:45,/Matches/1651542/Live/Italy-Serie-A-2022-2023-Cremonese-AC-Milan,1651542
131,Udinese,Nov 8 2022,Spezia,1 : 1,17:30,/Matches/1651550/Live/Italy-Serie-A-2022-2023-Spezia-Udinese,1651550
132,Empoli,Nov 8 2022,Napoli,2 : 0,17:30,/Matches/1651548/Live/Italy-Serie-A-2022-2023-Napoli-Empoli,1651548
133,Atalanta,Nov 9 2022,Lecce,2 : 1,17:30,/Matches/1651547/Live/Italy-Serie-A-2022-2023-Lecce-Atalanta,1651547
134,Sampdoria,Nov 9 2022,Torino,2 : 0,19:45,/Matches/1651551/Live/Italy-Serie-A-2022-2023-Torino-Sampdoria,1651551
135,Salernitana,Nov 9 2022,Fiorentina,2 : 1,19:45,/Matches/1651543/Live/Italy-Serie-A-2022-2023-Fiorentina-Salernitana,1651543
136,Roma,Nov 9 2022,Sassuolo,1 : 1,17:30,/Matches/1651549/Live/Italy-Serie-A-2022-2023-Sassuolo-Roma,1651549
137,Bologna,Nov 9 2022,Inter,6 : 1,19:45,/Matches/1651545/Live/Italy-Serie-A-2022-2023-Inter-Bologna,1651545
138,Juventus,Nov 10 2022,Verona,0 : 1,17:30,/Matches/1651544/Live/Italy-Serie-A-2022-2023-Verona-Juventus,1651544
139,Monza,Nov 10 2022,Lazio,1 : 0,19:45,/Matches/1651546/Live/Italy-Serie-A-2022-2023-Lazio-Monza,1651546
140,Cremonese,Nov 11 2022,Empoli,2 : 0,19:45,/Matches/1651554/Live/Italy-Serie-A-2022-2023-Empoli-Cremonese,1651554
141,Lecce,Nov 12 2022,Sampdoria,0 : 2,17:00,/Matches/1651561/Live/Italy-Serie-A-2022-2023-Sampdoria-Lecce,1651561
142,Sassuolo,Nov 12 2022,Bologna,3 : 0,19:45,/Matches/1651553/Live/Italy-Serie-A-2022-2023-Bologna-Sassuolo,1651553
143,Udinese,Nov 12 2022,Napoli,3 : 2,14:00,/Matches/1651559/Live/Italy-Serie-A-2022-2023-Napoli-Udinese,1651559
144,Torino,Nov 13 2022,Roma,1 : 1,14:00,/Matches/1651560/Live/Italy-Serie-A-2022-2023-Roma-Torino,1651560
145,Salernitana,Nov 13 2022,Monza,3 : 0,14:00,/Matches/1651558/Live/Italy-Serie-A-2022-2023-Monza-Salernitana,1651558
146,Fiorentina,Nov 13 2022,AC Milan,2 : 1,17:00,/Matches/1651557/Live/Italy-Serie-A-2022-2023-AC-Milan-Fiorentina,1651557
147,Lazio,Nov 13 2022,Juventus,3 : 0,19:45,/Matches/1651556/Live/Italy-Serie-A-2022-2023-Juventus-Lazio,1651556
148,Inter,Nov 13 2022,Atalanta,2 : 3,11:30,/Matches/1651552/Live/Italy-Serie-A-2022-2023-Atalanta-Inter,1651552
149,Spezia,Nov 13 2022,Verona,1 : 2,14:00,/Matches/1651555/Live/Italy-Serie-A-2022-2023-Verona-Spezia,1651555
150,Empoli,Jan 4 2023,Udinese,1 : 1,19:45,/Matches/1651761/Live/Italy-Serie-A-2022-2023-Udinese-Empoli,1651761
151,AC Milan,Jan 4 2023,Salernitana,1 : 2,11:30,/Matches/1651757/Live/Italy-Serie-A-2022-2023-Salernitana-AC-Milan,1651757
152,Verona,Jan 4 2023,Torino,1 : 1,13:30,/Matches/1651760/Live/Italy-Serie-A-2022-2023-Torino-Verona,1651760
153,Monza,Jan 4 2023,Fiorentina,1 : 1,17:30,/Matches/1651753/Live/Italy-Serie-A-2022-2023-Fiorentina-Monza,1651753
154,Lazio,Jan 4 2023,Lecce,2 : 1,15:30,/Matches/1651755/Live/Italy-Serie-A-2022-2023-Lecce-Lazio,1651755
155,Atalanta,Jan 4 2023,Spezia,2 : 2,13:30,/Matches/1651759/Live/Italy-Serie-A-2022-2023-Spezia-Atalanta,1651759
156,Bologna,Jan 4 2023,Roma,1 : 0,15:30,/Matches/1651756/Live/Italy-Serie-A-2022-2023-Roma-Bologna,1651756
157,Sampdoria,Jan 4 2023,Sassuolo,1 : 2,11:30,/Matches/1651758/Live/Italy-Serie-A-2022-2023-Sassuolo-Sampdoria,1651758
158,Napoli,Jan 4 2023,Inter,1 : 0,19:45,/Matches/1651754/Live/Italy-Serie-A-2022-2023-Inter-Napoli,1651754
159,Juventus,Jan 4 2023,Cremonese,0 : 1,17:30,/Matches/1651752/Live/Italy-Serie-A-2022-2023-Cremonese-Juventus,1651752
160,Sassuolo,Jan 7 2023,Fiorentina,2 : 1,14:00,/Matches/1651563/Live/Italy-Serie-A-2022-2023-Fiorentina-Sassuolo,1651563
161,Udinese,Jan 7 2023,Juventus,1 : 0,17:00,/Matches/1651565/Live/Italy-Serie-A-2022-2023-Juventus-Udinese,1651565
162,Inter,Jan 7 2023,Monza,2 : 2,19:45,/Matches/1651568/Live/Italy-Serie-A-2022-2023-Monza-Inter,1651568
163,Napoli,Jan 8 2023,Sampdoria,0 : 2,17:00,/Matches/1651570/Live/Italy-Serie-A-2022-2023-Sampdoria-Napoli,1651570
164,Torino,Jan 8 2023,Salernitana,1 : 1,11:30,/Matches/1651569/Live/Italy-Serie-A-2022-2023-Salernitana-Torino,1651569
165,Lecce,Jan 8 2023,Spezia,0 : 0,14:00,/Matches/1651571/Live/Italy-Serie-A-2022-2023-Spezia-Lecce,1651571
166,Roma,Jan 8 2023,AC Milan,2 : 2,19:45,/Matches/1651567/Live/Italy-Serie-A-2022-2023-AC-Milan-Roma,1651567
167,Empoli,Jan 8 2023,Lazio,2 : 2,14:00,/Matches/1651566/Live/Italy-Serie-A-2022-2023-Lazio-Empoli,1651566
168,Cremonese,Jan 9 2023,Verona,2 : 0,17:30,/Matches/1651564/Live/Italy-Serie-A-2022-2023-Verona-Cremonese,1651564
169,Atalanta,Jan 9 2023,Bologna,1 : 2,19:45,/Matches/1651562/Live/Italy-Serie-A-2022-2023-Bologna-Atalanta,1651562
170,Juventus,Jan 13 2023,Napoli,5 : 1,19:45,/Matches/1651577/Live/Italy-Serie-A-2022-2023-Napoli-Juventus,1651577
171,Verona,Jan 14 2023,Inter,1 : 0,19:45,/Matches/1651575/Live/Italy-Serie-A-2022-2023-Inter-Verona,1651575
172,AC Milan,Jan 14 2023,Lecce,2 : 2,17:00,/Matches/1651576/Live/Italy-Serie-A-2022-2023-Lecce-AC-Milan,1651576
173,Monza,Jan 14 2023,Cremonese,2 : 3,14:00,/Matches/1651573/Live/Italy-Serie-A-2022-2023-Cremonese-Monza,1651573
174,Salernitana,Jan 15 2023,Atalanta,8 : 2,17:00,/Matches/1651572/Live/Italy-Serie-A-2022-2023-Atalanta-Salernitana,1651572
175,Bologna,Jan 15 2023,Udinese,1 : 2,14:00,/Matches/1651581/Live/Italy-Serie-A-2022-2023-Udinese-Bologna,1651581
176,Spezia,Jan 15 2023,Torino,0 : 1,14:00,/Matches/1651580/Live/Italy-Serie-A-2022-2023-Torino-Spezia,1651580
177,Fiorentina,Jan 15 2023,Roma,2 : 0,19:45,/Matches/1651578/Live/Italy-Serie-A-2022-2023-Roma-Fiorentina,1651578
178,Lazio,Jan 15 2023,Sassuolo,0 : 2,11:30,/Matches/1651579/Live/Italy-Serie-A-2022-2023-Sassuolo-Lazio,1651579
179,Sampdoria,Jan 16 2023,Empoli,1 : 0,19:45,/Matches/1651574/Live/Italy-Serie-A-2022-2023-Empoli-Sampdoria,1651574
180,Napoli,Jan 21 2023,Salernitana,0 : 2,17:00,/Matches/1651589/Live/Italy-Serie-A-2022-2023-Salernitana-Napoli,1651589
181,Torino,Jan 21 2023,Fiorentina,0 : 1,19:45,/Matches/1651583/Live/Italy-Serie-A-2022-2023-Fiorentina-Torino,1651583
182,Lecce,Jan 21 2023,Verona,2 : 0,14:00,/Matches/1651584/Live/Italy-Serie-A-2022-2023-Verona-Lecce,1651584
183,Roma,Jan 22 2023,Spezia,0 : 2,17:00,/Matches/1651591/Live/Italy-Serie-A-2022-2023-Spezia-Roma,1651591
184,Sassuolo,Jan 22 2023,Monza,1 : 1,14:00,/Matches/1651588/Live/Italy-Serie-A-2022-2023-Monza-Sassuolo,1651588
185,Atalanta,Jan 22 2023,Juventus,3 : 3,19:45,/Matches/1651586/Live/Italy-Serie-A-2022-2023-Juventus-Atalanta,1651586
186,Udinese,Jan 22 2023,Sampdoria,0 : 1,11:30,/Matches/1651590/Live/Italy-Serie-A-2022-2023-Sampdoria-Udinese,1651590
187,Empoli,Jan 23 2023,Inter,0 : 1,19:45,/Matches/1651585/Live/Italy-Serie-A-2022-2023-Inter-Empoli,1651585
188,Cremonese,Jan 23 2023,Bologna,1 : 1,17:30,/Matches/1651582/Live/Italy-Serie-A-2022-2023-Bologna-Cremonese,1651582
189,AC Milan,Jan 24 2023,Lazio,4 : 0,19:45,/Matches/1651587/Live/Italy-Serie-A-2022-2023-Lazio-AC-Milan,1651587
190,Salernitana,Jan 27 2023,Lecce,1 : 2,19:45,/Matches/1651598/Live/Italy-Serie-A-2022-2023-Lecce-Salernitana,1651598
191,Spezia,Jan 27 2023,Bologna,2 : 0,17:30,/Matches/1651593/Live/Italy-Serie-A-2022-2023-Bologna-Spezia,1651593
192,Sampdoria,Jan 28 2023,Atalanta,2 : 0,19:45,/Matches/1651592/Live/Italy-Serie-A-2022-2023-Atalanta-Sampdoria,1651592
193,Torino,Jan 28 2023,Empoli,2 : 2,14:00,/Matches/1651595/Live/Italy-Serie-A-2022-2023-Empoli-Torino,1651595
194,Inter,Jan 28 2023,Cremonese,1 : 2,17:00,/Matches/1651594/Live/Italy-Serie-A-2022-2023-Cremonese-Inter,1651594
195,Sassuolo,Jan 29 2023,AC Milan,2 : 5,11:30,/Matches/1651599/Live/Italy-Serie-A-2022-2023-AC-Milan-Sassuolo,1651599
196,Roma,Jan 29 2023,Napoli,2 : 1,19:45,/Matches/1651600/Live/Italy-Serie-A-2022-2023-Napoli-Roma,1651600
197,Fiorentina,Jan 29 2023,Lazio,1 : 1,17:00,/Matches/1651597/Live/Italy-Serie-A-2022-2023-Lazio-Fiorentina,1651597
198,Monza,Jan 29 2023,Juventus,0 : 2,14:00,/Matches/1651596/Live/Italy-Serie-A-2022-2023-Juventus-Monza,1651596
199,Verona,Jan 30 2023,Udinese,1 : 1,19:45,/Matches/1651601/Live/Italy-Serie-A-2022-2023-Udinese-Verona,1651601
200,Lecce,Feb 4 2023,Cremonese,0 : 2,14:00,/Matches/1651802/Live/Italy-Serie-A-2022-2023-Cremonese-Lecce,1651802
201,Atalanta,Feb 4 2023,Sassuolo,1 : 0,19:45,/Matches/1651809/Live/Italy-Serie-A-2022-2023-Sassuolo-Atalanta,1651809
202,Empoli,Feb 4 2023,Roma,2 : 0,17:00,/Matches/1651807/Live/Italy-Serie-A-2022-2023-Roma-Empoli,1651807
203,Bologna,Feb 5 2023,Fiorentina,1 : 2,17:00,/Matches/1651803/Live/Italy-Serie-A-2022-2023-Fiorentina-Bologna,1651803
204,AC Milan,Feb 5 2023,Inter,1 : 0,19:45,/Matches/1651805/Live/Italy-Serie-A-2022-2023-Inter-AC-Milan,1651805
205,Napoli,Feb 5 2023,Spezia,0 : 3,11:30,/Matches/1651810/Live/Italy-Serie-A-2022-2023-Spezia-Napoli,1651810
206,Udinese,Feb 5 2023,Torino,1 : 0,14:00,/Matches/1651811/Live/Italy-Serie-A-2022-2023-Torino-Udinese,1651811
207,Lazio,Feb 6 2023,Verona,1 : 1,17:30,/Matches/1651804/Live/Italy-Serie-A-2022-2023-Verona-Lazio,1651804
208,Sampdoria,Feb 6 2023,Monza,2 : 2,19:45,/Matches/1651806/Live/Italy-Serie-A-2022-2023-Monza-Sampdoria,1651806
209,Juventus,Feb 7 2023,Salernitana,0 : 3,19:45,/Matches/1651808/Live/Italy-Serie-A-2022-2023-Salernitana-Juventus,1651808
210,Torino,Feb 10 2023,AC Milan,1 : 0,19:45,/Matches/1651614/Live/Italy-Serie-A-2022-2023-AC-Milan-Torino,1651614
211,Roma,Feb 11 2023,Lecce,1 : 1,17:00,/Matches/1651612/Live/Italy-Serie-A-2022-2023-Lecce-Roma,1651612
212,Spezia,Feb 11 2023,Empoli,2 : 2,14:00,/Matches/1651603/Live/Italy-Serie-A-2022-2023-Empoli-Spezia,1651603
213,Atalanta,Feb 11 2023,Lazio,0 : 2,19:45,/Matches/1651610/Live/Italy-Serie-A-2022-2023-Lazio-Atalanta,1651610
214,Sassuolo,Feb 12 2023,Udinese,2 : 2,11:30,/Matches/1651620/Live/Italy-Serie-A-2022-2023-Udinese-Sassuolo,1651620
215,Cremonese,Feb 12 2023,Napoli,3 : 0,19:45,/Matches/1651616/Live/Italy-Serie-A-2022-2023-Napoli-Cremonese,1651616
216,Monza,Feb 12 2023,Bologna,0 : 1,14:00,/Matches/1651602/Live/Italy-Serie-A-2022-2023-Bologna-Monza,1651602
217,Fiorentina,Feb 12 2023,Juventus,1 : 0,17:00,/Matches/1651605/Live/Italy-Serie-A-2022-2023-Juventus-Fiorentina,1651605
218,Salernitana,Feb 13 2023,Verona,1 : 0,17:30,/Matches/1651604/Live/Italy-Serie-A-2022-2023-Verona-Salernitana,1651604
219,Inter,Feb 13 2023,Sampdoria,0 : 0,19:45,/Matches/1651618/Live/Italy-Serie-A-2022-2023-Sampdoria-Inter,1651618
220,Napoli,Feb 17 2023,Sassuolo,0 : 2,19:45,/Matches/1651636/Live/Italy-Serie-A-2022-2023-Sassuolo-Napoli,1651636
221,AC Milan,Feb 18 2023,Monza,0 : 1,17:00,/Matches/1651628/Live/Italy-Serie-A-2022-2023-Monza-AC-Milan,1651628
222,Udinese,Feb 18 2023,Inter,3 : 1,19:45,/Matches/1651626/Live/Italy-Serie-A-2022-2023-Inter-Udinese,1651626
